,tract,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
845,06037236205,23882.0,1281.0,3403.0,1581.0,1822.0,1702.0,81.0,1561.0,7.0,13.0
846,06037236206,42831.0,1304.0,2571.0,1154.0,1417.0,1316.0,112.0,1112.0,9.0,57.0
847,06037236400,90102.0,2140.0,4346.0,393.0,3953.0,3738.0,404.0,3164.0,3.0,119.0
848,06037237101,38750.0,992.0,4144.0,3049.0,1095.0,1005.0,44.0,889.0,6.0,47.0
849,06037237102,37500.0,1008.0,3625.0,2732.0,893.0,846.0,36.0,731.0,14.0,14.0
850,06037237201,53294.0,1046.0,3546.0,2681.0,865.0,790.0,45.0,692.0,8.0,22.0
851,06037237202,41792.0,1237.0,4414.0,2785.0,1629.0,1466.0,64.0,1333.0,6.0,25.0
852,06037237300,57974.0,1817.0,5531.0,2619.0,2912.0,2726.0,101.0,2535.0,5.0,42.0
853,06037237401,54178.0,1095.0,3765.0,2637.0,1128.0,1073.0,55.0,961.0,2.0,19.0
854,06037237402,67863.0,1015.0,3640.0,2412.0,1228.0,1162.0,32.0,1082.0,8.0,14.0
855,06037237500,31311.0,789.0,2856.0,2230.0,626.0,583.0,50.0,509.0,1.0,3.0
856,06037237600,41076.0,1165.0,4112.0,3243.0,869.0,822.0,40.0,724.0,2.0,20.0
857,06037237710,39288.0,1093.0,3992.0,2916.0,1076.0,1014.0,38.0,920.0,7.0,23.0
858,06037237720,35488.0,883.0,3470.0,2641.0,829.0,768.0,35.0,688.0,2.0,6.0
859,06037237800,49455.0,1338.0,4335.0,2214.0,2121.0,2022.0,64.0,1864.0,8.0,43.0
860,06037237900,51404.0,1389.0,3726.0,1089.0,2637.0,2475.0,86.0,2295.0,5.0,37.0
861,06037238000,65313.0,2408.0,5969.0,1566.0,4403.0,4211.0,105.0,3972.0,18.0,43.0
862,06037238100,49847.0,2112.0,4683.0,1305.0,3378.0,3200.0,109.0,2968.0,17.0,38.0
863,06037238200,38557.0,2111.0,5848.0,1828.0,4020.0,3822.0,103.0,3590.0,17.0,42.0
864,06037238310,33317.0,1407.0,5087.0,3677.0,1410.0,1337.0,49.0,1232.0,7.0,15.0
865,06037238320,34628.0,1073.0,3975.0,2682.0,1293.0,1222.0,44.0,1113.0,4.0,20.0
866,06037238400,68212.0,1829.0,4632.0,1185.0,3447.0,3255.0,96.0,3079.0,7.0,37.0
867,06037239201,36687.0,846.0,3819.0,3167.0,652.0,615.0,72.0,475.0,0.0,15.0
868,06037239202,42332.0,1215.0,5013.0,4280.0,733.0,674.0,40.0,609.0,2.0,8.0
869,06037239310,41121.0,1012.0,4031.0,3285.0,746.0,697.0,76.0,563.0,4.0,21.0
870,06037239320,48716.0,802.0,3441.0,2942.0,499.0,469.0,26.0,397.0,15.0,14.0
871,06037239330,40293.0,705.0,2979.0,2619.0,360.0,320.0,30.0,259.0,2.0,5.0
872,06037239501,49085.0,970.0,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
873,06037239502,42621.0,911.0,3697.0,2945.0,752.0,726.0,59.0,628.0,6.0,11.0
874,06037239601,49286.0,890.0,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
875,06037239602,37500.0,910.0,3487.0,2788.0,699.0,668.0,30.0,591.0,11.0,16.0
876,06037239701,33775.0,1131.0,4415.0,3396.0,1019.0,951.0,49.0,841.0,7.0,11.0
877,06037239702,35809.0,1164.0,4224.0,3025.0,1199.0,1152.0,68.0,1041.0,10.0,15.0
878,06037239801,51833.0,940.0,3873.0,2914.0,959.0,910.0,52.0,805.0,6.0,5.0
879,06037239802,48674.0,1313.0,5103.0,3920.0,1183.0,1128.0,58.0,1036.0,0.0,17.0
880,06037240010,33144.0,987.0,3818.0,2909.0,909.0,855.0,32.0,783.0,4.0,20.0
881,06037240020,50521.0,1248.0,5294.0,4118.0,1176.0,1104.0,58.0,994.0,5.0,10.0
882,06037240200,45579.0,1453.0,5910.0,4392.0,1518.0,1421.0,55.0,1307.0,3.0,18.0
883,06037240301,17096.0,899.0,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
884,06037240302,55604.0,765.0,3114.0,2361.0,753.0,707.0,37.0,632.0,8.0,10.0
885,06037240401,38536.0,1591.0,5493.0,4045.0,1448.0,1401.0,56.0,1266.0,8.0,49.0
886,06037240402,40903.0,1171.0,3856.0,2382.0,1474.0,1369.0,47.0,1248.0,4.0,46.0
887,06037240500,37157.0,1726.0,6505.0,4327.0,2178.0,2034.0,128.0,1819.0,29.0,19.0
888,06037240600,50667.0,1230.0,5457.0,3866.0,1591.0,1531.0,103.0,1359.0,9.0,20.0
889,06037240700,44587.0,1673.0,6573.0,4783.0,1790.0,1700.0,56.0,1536.0,12.0,47.0
890,06037240800,41768.0,1132.0,4438.0,3140.0,1298.0,1254.0,47.0,1152.0,3.0,23.0
891,06037240901,52969.0,597.0,2697.0,2125.0,572.0,545.0,35.0,482.0,2.0,4.0
892,06037240902,39375.0,814.0,3304.0,2575.0,729.0,678.0,35.0,610.0,0.0,10.0
893,06037241001,47907.0,1070.0,4525.0,3088.0,1437.0,1383.0,53.0,1285.0,3.0,12.0
894,06037241002,60962.0,954.0,3941.0,2502.0,1439.0,1358.0,45.0,1275.0,6.0,9.0
895,06037241110,57766.0,802.0,3295.0,2370.0,925.0,892.0,23.0,850.0,6.0,1.0
896,06037241120,25490.0,1302.0,4902.0,3566.0,1336.0,1271.0,53.0,1148.0,8.0,15.0
897,06037241201,50750.0,905.0,3105.0,1885.0,1220.0,1154.0,40.0,1083.0,7.0,6.0
898,06037241202,41458.0,1556.0,5148.0,3025.0,2123.0,1997.0,77.0,1817.0,1.0,42.0
